15/10/24	Despesa	Tecido	Produção	Safetopay Intermediacao De Negocios Ltda	-R$ 200,00	 R$ 200,00 	 Andrew 
07/11/24	Despesa	Tecido	Produção	Aradefe Industria E Comercio De Malhas Ltda	-R$ 337,41	 R$ 337,41 	 Andrew 
14/11/24	Receita	Pagamentos	Recebimentos	ECOMIX ARGAMASSAS LTDA AE	R$ 488,60	 R$ 488,60 	 Andrew 
14/11/24	Receita	Pagamentos	Recebimentos	ECOMIX ARGAMASSAS LTDA	R$ 3.524,90	 R$ 3.524,90 	 Andrew 
28/11/24	Despesa	Outros	Outros	Pix Marketplace	-R$ 99,99	 R$ 99,99 	 Andrew 
28/11/24	Despesa	Aviamento	Produção	Alfa Aviamentos	-R$ 283,81	 R$ 283,81 	 Andrew 
04/12/24	Despesa	Contabilidade	Financeiro	Ministerio Da Fazenda	-R$ 76,60	 R$ 76,60 	 Andrew 
04/12/24	Despesa	Contabilidade	Financeiro	Receita Federal	-R$ 76,60	 R$ 76,60 	 Andrew 
04/12/24	Despesa	Contabilidade	Financeiro	Receita Federal	-R$ 80,65	 R$ 80,65 	 Andrew 
04/12/24	Despesa	Contabilidade	Financeiro	Ministerio Da Fazenda	-R$ 89,10	 R$ 89,10 	 Andrew 
04/12/24	Despesa	Contabilidade	Financeiro	Ministerio Da Fazenda	-R$ 76,60	 R$ 76,60 	 Andrew 
04/12/24	Despesa	Contabilidade	Financeiro	Ministerio Da Fazenda	-R$ 76,60	 R$ 76,60 	 Andrew 
04/12/24	Despesa	Contabilidade	Financeiro	Ministerio Da Fazenda	-R$ 80,65	 R$ 80,65 	 Andrew 
16/12/24	Receita	Pagamentos	Recebimentos	POLIMIX CONCRETO LTDA	R$ 3.750,00	 R$ 3.750,00 	 Andrew 
14/01/25	Despesa	Contabilidade	Financeiro	Receita Federal	-R$ 81,90	 R$ 81,90 	 Andrew 
14/01/25	Despesa	Contabilidade	Financeiro	Ministerio Da Fazenda	-R$ 81,90	 R$ 81,90 	 Andrew 
14/01/25	Despesa	Contabilidade	Financeiro	Ministerio Da Fazenda	-R$ 81,90	 R$ 81,90 	 Andrew 
14/01/25	Despesa	Contabilidade	Financeiro	Ministerio Da Fazenda	-R$ 81,90	 R$ 81,90 	 Andrew 
14/01/25	Despesa	Contabilidade	Financeiro	Receita Federal	-R$ 81,90	 R$ 81,90 	 Andrew 
14/01/25	Despesa	Contabilidade	Financeiro	Receita Federal	-R$ 81,90	 R$ 81,90 	 Andrew 
